company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78.33
ABB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84.71
ABB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,70.5
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.74
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.91
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.54
ABB,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
ADANIENSOL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,91.1
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.83
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75.0
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.87
ADANIENT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,73.21
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.71
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,92.38
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,92.42
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,93.67
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,86.13
ADANIGREEN,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.95
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.43
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIPORTS,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,78.55
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76.16
ADANIPORTS,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76.61
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,83.43
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.6
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,83.36
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIPOWER,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
AMBUJACEM,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.08
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83.66
AMBUJACEM,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.1
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.9
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71.08
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,83.73
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.16
APOLLOHOSP,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,71.22
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.97
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80.44
APOLLOHOSP,con,CON_FALLBACK,No primary risk signal crossed the defined Con-rule thresholds in the available financial data,61.0
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72.34
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,74.52
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.15
ASIANPAINT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,70.42
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.8
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.81
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.37
